seq_id	insertion_date	mcl_clust	ap_clust
823	1580769	mcl_19	ap_clust_12280
824	1188461	mcl_35	ap_clust_415
825	623076	mcl_21	ap_clust_9976
826	8050000	mcl_217	ap_clust_6549
827	569230	mcl_11	ap_clust_8560
828	946153	mcl_7	ap_clust_12520
829	784615	mcl_1	ap_clust_3665
830	1365384	mcl_18	ap_clust_9852
831	1546153	mcl_1	ap_clust_12382
832	869230	mcl_22	ap_clust_6250
833	561538	mcl_2	ap_clust_13524
834	707692	mcl_38	ap_clust_10463
835	853846	mcl_10	ap_clust_10865
836	938461	mcl_9	ap_clust_9527
837	680769	mcl_7	ap_clust_2432
838	57692	mcl_18	ap_clust_8623
839	426923	mcl_1	ap_clust_6936
840	1469230	mcl_1	ap_clust_6936
841	246153	mcl_36	ap_clust_13126
842	673076	mcl_17	ap_clust_4839
843	134615	mcl_19	ap_clust_9765
844	1084615	mcl_14	ap_clust_11896
845	1765384	mcl_3	ap_clust_11003
846	0	mcl_218	ap_clust_9165
847	57692	mcl_13	ap_clust_9805
848	323076	mcl_22	ap_clust_11402
849	13511538	mcl_22	ap_clust_4356
850	57692	mcl_12	ap_clust_3502
851	542307	mcl_76	ap_clust_851
852	1000000	mcl_2	ap_clust_5727
853	619230	mcl_2	ap_clust_10772
854	65384	mcl_6	ap_clust_7049
855	261538	mcl_6	ap_clust_10614
856	0	mcl_12	ap_clust_3502
857	207692	mcl_16	ap_clust_12069
858	476923	mcl_16	ap_clust_3001
859	1092307	mcl_7	ap_clust_12520
860	0	mcl_43	ap_clust_10670
861	0	mcl_12	ap_clust_1513
862	173076	mcl_13	ap_clust_9805
863	115384	mcl_6	ap_clust_7049
864	2261538	mcl_15	ap_clust_8942
865	330769	mcl_6	ap_clust_6549
866	115384	mcl_18	ap_clust_6582
867	173076	mcl_18	ap_clust_6582
868	1042307	mcl_8	ap_clust_4393
869	0	mcl_18	ap_clust_8623
870	396153	mcl_21	ap_clust_9976
871	2019230	mcl_388	ap_clust_0
872	284615	mcl_4	ap_clust_407
873	1326923	mcl_3	ap_clust_11290
